_Hex,_Red,_Green,_Blue,_Title,_Name,_grey,_X11,_SVG,
'7A7A7A,122,122,122,grey48,,grey,X11,,
'7D7D7D,125,125,125,grey49,,grey,X11,,
'0D0D0D,13,13,13,grey5,,grey,X11,,
'7F7F7F,127,127,127,grey50,,grey,X11,,
'828282,130,130,130,grey51,,grey,X11,,
'858585,133,133,133,grey52,,grey,X11,,
'878787,135,135,135,grey53,,grey,X11,,
'8A8A8A,138,138,138,grey54,,grey,X11,,
'8C8C8C,140,140,140,grey55,,grey,X11,,
'8F8F8F,143,143,143,grey56,,grey,X11,,
'919191,145,145,145,grey57,,grey,X11,,
'949494,148,148,148,grey58,,grey,X11,,
'969696,150,150,150,grey59,,grey,X11,,
'0F0F0F,15,15,15,grey6,,grey,X11,,
'999999,153,153,153,grey60,,grey,X11,,
'9C9C9C,156,156,156,grey61,,grey,X11,,
'9E9E9E,158,158,158,grey62,,grey,X11,,
'A1A1A1,161,161,161,grey63,,grey,X11,,
'A3A3A3,163,163,163,grey64,,grey,X11,,
'A6A6A6,166,166,166,grey65,,grey,X11,,
'A8A8A8,168,168,168,grey66,,grey,X11,,
'ABABAB,171,171,171,grey67,,grey,X11,,
'ADADAD,173,173,173,grey68,,grey,X11,,
'B0B0B0,176,176,176,grey69,,grey,X11,,
'121212,18,18,18,grey7,,grey,X11,,
'B3B3B3,179,179,179,grey70,,grey,X11,,
'B5B5B5,181,181,181,grey71,,grey,X11,,
'B8B8B8,184,184,184,grey72,,grey,X11,,
'BABABA,186,186,186,grey73,,grey,X11,,
'BDBDBD,189,189,189,grey74,,grey,X11,,
'BFBFBF,191,191,191,grey75,,grey,X11,,
'C2C2C2,194,194,194,grey76,,grey,X11,,
'C4C4C4,196,196,196,grey77,,grey,X11,,
'C7C7C7,199,199,199,grey78,,grey,X11,,
'C9C9C9,201,201,201,grey79,,grey,X11,,
'141414,20,20,20,grey8,,grey,X11,,
'CCCCCC,204,204,204,grey80,,grey,X11,,
'CFCFCF,207,207,207,grey81,,grey,X11,,
'D1D1D1,209,209,209,grey82,,grey,X11,,
'D4D4D4,212,212,212,grey83,,grey,X11,,
'D6D6D6,214,214,214,grey84,,grey,X11,,
'D9D9D9,217,217,217,grey85,,grey,X11,,
'DBDBDB,219,219,219,grey86,,grey,X11,,
'DEDEDE,222,222,222,grey87,,grey,X11,,
'E0E0E0,224,224,224,grey88,,grey,X11,,
'E3E3E3,227,227,227,grey89,,grey,X11,,
'171717,23,23,23,grey9,,grey,X11,,
'E5E5E5,229,229,229,grey90,,grey,X11,,
'E8E8E8,232,232,232,grey91,,grey,X11,,
'EBEBEB,235,235,235,grey92,,grey,X11,,
'EDEDED,237,237,237,grey93,,grey,X11,,
'F0F0F0,240,240,240,grey94,,grey,X11,,
'F2F2F2,242,242,242,grey95,,grey,X11,,
'F5F5F5,245,245,245,grey96,,grey,X11,,
'F7F7F7,247,247,247,grey97,,grey,X11,,
'FAFAFA,250,250,250,grey98,,grey,X11,,
'FCFCFC,252,252,252,grey99,,grey,X11,,
